Shear Rate;Shear Stress;Viscosity;Speed;Torque
[1/s];[Pa];[Pa·s];[1/min];[µNm]
0,1;0,00442;0,0442;0,0167;0,0181
0,126;0,00518;0,0411;0,0211;0,0212
0,158;0,00682;0,043;0,0265;0,0279
0,2;0,00767;0,0385;0,0334;0,0314
0,251;0,011;0,0439;0,0421;0,0451
0,316;0,0121;0,0382;0,0529;0,0494
0,398;0,0142;0,0356;0,0666;0,0579
0,501;0,0164;0,0327;0,0839;0,0669
0,631;0,0186;0,0295;0,106;0,076
0,794;0,0229;0,0288;0,133;0,0936
1;0,0304;0,0304;0,167;0,124
1,1;0,0303;0,0275;0,184;0,124
1,37;0,0369;0,0269;0,23;0,151
1,71;0,0484;0,0283;0,286;0,198
2,13;0,0588;0,0276;0,357;0,24
2,66;0,0758;0,0285;0,445;0,31
3,32;0,0924;0,0278;0,555;0,377
4,14;0,121;0,0294;0,692;0,496
5,16;0,149;0,0289;0,863;0,609
6,43;0,187;0,0291;1,08;0,763
8,02;0,238;0,0297;1,34;0,974
10;0,294;0,0294;1,67;1,2
11;0,325;0,0295;1,84;1,33
13,8;0,406;0,0294;2,31;1,66
17,3;0,508;0,0294;2,89;2,08
21,6;0,631;0,0292;3,62;2,58
27,1;0,784;0,0289;4,54;3,2
34;0,974;0,0287;5,68;3,98
42,5;1,22;0,0287;7,12;5
53,3;1,52;0,0285;8,92;6,21
66,8;1,89;0,0283;11,2;7,73
83,7;2,33;0,0279;14;9,52
105;2,88;0,0274;17,6;11,8
131;3,65;0,0278;22;14,9
165;4,42;0,0268;27,6;18,1
206;5,65;0,0274;34,5;23,1
258;6,68;0,0259;43,3;27,3
324;8,22;0,0254;54,2;33,6
406;10,1;0,0249;67,9;41,3
508;13,1;0,0258;85,1;53,6
637;15,7;0,0247;107;64,3
798;19,8;0,0248;134;81
1000;23,8;0,0238;167;97,1
