Shear Rate,Stress
0.00157269419234,18.118880586422943
0.0024921081632651,18.076491950736507
0.0039280774616698,18.25064388008647
0.0062468360079504,18.400886738110326
0.0098951444375737,18.51526168701854
0.0156721284860669,18.796497972300923
0.024685682930193,19.11679012285041
0.0393958187593741,19.4779171112511
0.0621149389905712,19.999572822084925
0.098454012453186,20.591149493115587
0.1563401794917029,21.50202916248392
0.2466655900752958,22.28934041708639
0.3902079648511574,23.31221165029628
0.6145138571071351,24.336529947125392
0.980391508474838,25.613151582842065
1.5651772640970676,27.4064823627777
2.4995041048540694,29.342945017065663
3.908464904701136,31.72034391330845
6.203941930991855,34.98850424749341
9.901852830924296,38.97733532704575
15.60783575633656,43.864170003808574
24.94091457259647,50.316172041430086
39.42004684561365,58.25060866352031
62.78258049171264,68.54687413855926
99.19886531414036,81.30681805052855
156.2114744072841,98.05563906168538
248.8114227909551,120.70619898249456
393.4106398476073,149.09451700295102
629.1385768728454,188.03511080784943
983.425477191988,240.94162341617212
