,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
G,98756.096,484.608,97847.448,99760.062,11.371,18.523,1801.0,818.0,
eta_s,499.666,299.387,36.828,988.841,7.737,7.404,1308.0,462.0,
tau_y0,49681.442,27832.488,4245.519,97115.516,884.307,603.355,910.0,631.0,
K_HB,49998.117,29445.08,300.333,95851.659,989.255,675.777,818.0,490.0,
n_HB,0.813,0.401,0.101,1.419,0.014,0.008,726.0,588.0,
f_age,0.0,0.0,0.0,0.0,0.0,0.0,1220.0,792.0,
f_flow,0.48,0.286,0.0,0.928,0.01,0.006,646.0,532.0,
t_a,50232.327,28457.153,63.813,95468.356,1035.192,810.92,662.0,409.0,
b,507.014,287.091,42.746,976.811,6.997,6.257,1850.0,700.0,
n_rej,1.56,0.808,0.243,2.932,0.027,0.018,766.0,528.0,
